,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
177,Freesia,Layone,1589,https://open.spotify.com/track/4l4VWSIalMF7SgjLsmUAlK
178,"All I Wanna Do (K) (Feat. Hoody & Loco)","Jay Park",1585,https://open.spotify.com/track/2FWquqPNxte8iqZ3ATQG0p
179,"Intro: Singularity",BTS,1579,https://open.spotify.com/track/5rNZsITjXf23iFkRA924FV
180,"Mood (feat. iann dior)",24kGoldn,1571,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
181,"Paris in the Rain",Lauv,1565,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
182,"Through the Night",IU,1562,https://open.spotify.com/track/3P3UA61WRQqwCXaoFOTENd
183,"Can I Love ? (feat. youra, Meego)","Cosmic Boy",1552,https://open.spotify.com/track/4T2cOfemKB0owJS2JOu7dF
184,"Cold Blooded",Jessi,1547,https://open.spotify.com/track/34JfHOd0fcefm4FSPSrIhF
185,"How You Like That",BLACKPINK,1537,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
186,"Love Yourself","Justin Bieber",1531,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
187,"Rain Song (Feat. Colde)","Epik High",1526,https://open.spotify.com/track/5IWlLl3xT95o8TSv3O8tRH
188,"After School",Weeekly,1520,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
189,"The Motto",Tiësto,1517,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
190,"DrunKen Confession","Kim MinSeok",1516,https://open.spotify.com/track/0hqngwyh8WnPuYlLYHRQqp
191,Better,BoA,1512,https://open.spotify.com/track/2k44rKotfi2k55hwwiCImN
192,"Your Shampoo Scent In The Flowers","Jang Beom June",1511,https://open.spotify.com/track/49jhaFKylisSzgaReEP2Jt
193,"Don't Start Now","Dua Lipa",1507,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
194,"We Are",Woo,1501,https://open.spotify.com/track/2SMq0lOqCTHayWa9juoI0d
195,"I will be your shining star","Song I Han",1492,https://open.spotify.com/track/7hSxOrxogaR7YGpg4l8wmd
196,Beggin',Måneskin,1491,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
197,夜に駆ける,YOASOBI,1490,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
198,Trip,Leellamarz,1479,https://open.spotify.com/track/11fB0pRXSdxOgoM8ity2D4
199,Anemone,"Lee Young Ji",1473,https://open.spotify.com/track/6KJB9aBaZhTLTNH59WCxvg
200,"Way Back Home",SHAUN,1468,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
