,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
183,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",227985,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
184,"Watermelon Sugar","Harry Styles",227125,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
185,"we fell in love in october","girl in red",226984,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
186,"LOT OF ME","Lil Tecca",226378,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
187,"Girls Want Girls (with Lil Baby)",Drake,226351,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
188,Heartless,"Kanye West",224727,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
189,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",222930,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
190,"She Knows (feat. Amber Coffman & Cults)","J. Cole",222559,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
191,"It's Called: Freefall","Rainbow Kitten Surprise",221991,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl
192,"The Motto",Tiësto,221945,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
193,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,221068,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
194,"Yes Indeed","Lil Baby",220795,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
195,Jealous,Eyedress,219533,https://open.spotify.com/track/5KbTBSGUvgDg75gIVhUaAW
196,"Always Been You","Jessie Murph",218268,https://open.spotify.com/track/2zpZkOV7sD9C4Cv0cukoHV
197,"Girl Of My Dreams (with SUGA of BTS)","Juice WRLD",217654,https://open.spotify.com/track/7DF8lvLdV3htIbuTWpc7lR
198,Dandelions,"Ruth B.",217560,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
199,"Get You (feat. Kali Uchis)","Daniel Caesar",217150,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
200,"Not Allowed","TV Girl",217030,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
